00001    3.34  0.15 K24AH 145.84905   73.28579   80.25414   10.58790  0.0791840  0.21418047   2.7666197  0 E2024-V47  7330 125 1801-2024 0.80 M-v 30k MPCLINUX   4000      (1) Ceres              20241101
00002    4.11  0.15 K24AH 126.06756  310.89226  172.90614   34.92186  0.2304384  0.21374870   2.7703442  0 E2024-V16  8964 123 1804-2024 0.75 M-c 28k Pan        4000      (2) Pallas             20240927
00003    5.18  0.15 K24AH 127.32529  247.81975  169.83829   12.98815  0.2561092  0.22588717   2.6701869  0 E2024-V16  7523 117 1804-2024 0.83 M-v 3Ek Pan        4000      (3) Juno               20240607
00004    3.25  0.15 K24AH 278.02316  151.67629  103.70474    7.14398  0.0900011  0.27169443   2.3609252  0 E2024-V16  7647 111 1821-2024 0.82 M-p 18k Pan        4000      (4) Vesta              20240306
00005    6.99  0.15 K243V 350.98291  359.23648  141.46063    5.35914  0.1872507  0.23840266   2.5758979  0 MPO840811  3344  87 1845-2024 0.71 M-v 3Ek MPCLINUX   4000      (5) Astraea            20240603
00006    5.61  0.15 K24AH 248.27292  239.64813  138.61983   14.73436  0.2024234  0.26082989   2.4260392  0 E2024-V16  5995 104 1848-2024 0.75 M-v 3Ek Pan        4007      (6) Hebe               20240817
00007    5.64  0.15 K24AH 314.75784  145.52013  259.49897    5.51948  0.2298579  0.26741520   2.3860452  0 E2024-V84  5359  91 1848-2024 0.82 M-v 3Ek MPCLINUX   0000      (7) Iris               20241105
00008    6.61  0.15 K24AH  78.15445  285.42970  110.84571    5.89031  0.1565804  0.30183610   2.2010096  0 E2024-VC2  2710  95 1847-2024 0.84 M-v 3Ek MPCLINUX   0000      (8) Flora              20241109
00009    6.34  0.15 K243V  38.92985    5.72797   68.86899    5.57820  0.1228015  0.26746801   2.3857311  0 MPO840811  3130  86 1822-2024 0.73 M-v 3Ek MPCLINUX   0000      (9) Metis              20240603
00010    5.64  0.15 K24AH 145.93643  312.63001  283.14844    3.83162  0.1104436  0.17702497   3.1413261  0 E2024-VB0  4144 100 1849-2024 0.78 M-v 3Ek MPCLINUX   0000     (10) Hygiea             20241105
00011    6.73  0.15 K24AH  71.50262  196.07085  125.50589    4.63153  0.0994330  0.25648366   2.4533692  0 E2024-VB0  9645 106 1850-2024 0.60 M-v 3Ek MPCLINUX   0000     (11) Parthenope         20241108
00012    7.30  0.15 K243V 271.07526   69.56953  235.35583    8.37410  0.2202008  0.27638673   2.3341276  0 MPO840811  3515  83 1850-2024 0.86 M-v 3Ek MPCLINUX   0000     (12) Victoria           20240705
00013    6.91  0.15 K24AH 305.54672   79.22238   43.20800   16.53187  0.0854027  0.23814779   2.5777354  0 E2024-V67  3125  76 1850-2024 0.84 M-v 3Ek MPCLINUX   0000     (13) Egeria             20241103
